dimension, 678, 591
Result (x y micro-second), 7, 13, 1215
Result (x y micro-second), 1, 1, 7962
Result (x y micro-second), 47, 7, 1157
Result (x y micro-second), 47, 23, 1016
Result (x y micro-second), 47, 47, 1019
Result (x y micro-second), 23, 23, 1195
Result (x y micro-second), 7, 47, 1273
Result (x y micro-second), 1, 13, 2163
Result (x y micro-second), 13, 11, 1176
Result (x y micro-second), 16, 13, 1140
Result (x y micro-second), 16, 32, 1175
Result (x y micro-second), 47, 11, 1177
Result (x y micro-second), 5, 13, 1288
Result (x y micro-second), 13, 5, 1202
Result (x y micro-second), 5, 1, 2439
Result (x y micro-second), 7, 5, 1345
Result (x y micro-second), 13, 5, 1202
Result (x y micro-second), 5, 7, 1411
Result (x y micro-second), 11, 64, 1265
Result (x y micro-second), 32, 64, 1012
Result (x y micro-second), 23, 7, 1153
Result (x y micro-second), 23, 47, 1015
Result (x y micro-second), 1, 13, 2177
Result (x y micro-second), 7, 11, 1219
Result (x y micro-second), 16, 16, 1149
Result (x y micro-second), 29, 64, 1022
Result (x y micro-second), 11, 16, 1190
Result (x y micro-second), 7, 7, 1266
Result (x y micro-second), 64, 16, 1156
Result (x y micro-second), 11, 47, 1255
Result (x y micro-second), 16, 13, 1141
Result (x y micro-second), 64, 47, 1007
Result (x y micro-second), 16, 5, 1162
Result (x y micro-second), 47, 23, 1007
Result (x y micro-second), 47, 23, 1010
Result (x y micro-second), 23, 16, 1166
Result (x y micro-second), 23, 64, 1014
Result (x y micro-second), 11, 29, 1188
Result (x y micro-second), 5, 11, 1288
Result (x y micro-second), 32, 23, 1179
Result (x y micro-second), 32, 13, 1162
Result (x y micro-second), 11, 47, 1273
Result (x y micro-second), 47, 23, 1024
Result (x y micro-second), 5, 23, 1277
Result (x y micro-second), 1, 13, 2181
Result (x y micro-second), 7, 16, 1223
Result (x y micro-second), 23, 7, 1154
Result (x y micro-second), 5, 1, 2454
Result (x y micro-second), 5, 64, 1270
Result (x y micro-second), 16, 64, 1199
Result (x y micro-second), 11, 47, 1256
Result (x y micro-second), 7, 64, 1255
Result (x y micro-second), 32, 16, 1135
Result (x y micro-second), 13, 29, 1185
Result (x y micro-second), 23, 5, 1155
Result (x y micro-second), 7, 7, 1271
Result (x y micro-second), 11, 16, 1203
Result (x y micro-second), 1, 64, 1931
Result (x y micro-second), 47, 64, 1005
Result (x y micro-second), 13, 29, 1188
Result (x y micro-second), 13, 23, 1191
Result (x y micro-second), 64, 32, 1015
Result (x y micro-second), 23, 1, 1371
Result (x y micro-second), 29, 16, 1173
Result (x y micro-second), 32, 5, 1148
Result (x y micro-second), 16, 5, 1154
Result (x y micro-second), 64, 29, 1017
Result (x y micro-second), 47, 16, 1176
Result (x y micro-second), 1, 1, 7986
Result (x y micro-second), 5, 13, 1284
Result (x y micro-second), 64, 5, 1129
Result (x y micro-second), 23, 7, 1166
Result (x y micro-second), 13, 16, 1186
Result (x y micro-second), 5, 11, 1306
Result (x y micro-second), 13, 16, 1165
Result (x y micro-second), 64, 23, 1003
Result (x y micro-second), 64, 64, 1057
Result (x y micro-second), 13, 16, 1168
Result (x y micro-second), 32, 47, 1026
Result (x y micro-second), 1, 23, 2071
Result (x y micro-second), 64, 11, 1196
Result (x y micro-second), 16, 29, 1178
Result (x y micro-second), 32, 5, 1133
Result (x y micro-second), 5, 32, 1267
Result (x y micro-second), 5, 1, 2455
Result (x y micro-second), 1, 1, 7977
Result (x y micro-second), 5, 13, 1290
Result (x y micro-second), 1, 16, 2125
Result (x y micro-second), 47, 5, 1141
Result (x y micro-second), 23, 5, 1151
Result (x y micro-second), 16, 13, 1157
Result (x y micro-second), 16, 13, 1145
Result (x y micro-second), 5, 29, 1270
Result (x y micro-second), 47, 47, 1012
Result (x y micro-second), 16, 29, 1176
Result (x y micro-second), 7, 13, 1220
Result (x y micro-second), 64, 16, 1146
Result (x y micro-second), 1, 32, 2034
Result (x y micro-second), 23, 64, 1001
Result (x y micro-second), 11, 16, 1191
Result (x y micro-second), 64, 11, 1188
Result (x y micro-second), 16, 47, 1198
Result (x y micro-second), 32, 11, 1138
Result (x y micro-second), 13, 13, 1188
Result (x y micro-second), 16, 32, 1158
Result (x y micro-second), 16, 32, 1167
Result (x y micro-second), 5, 47, 1270
Result (x y micro-second), 5, 1, 2457
Result (x y micro-second), 16, 32, 1162
Result (x y micro-second), 32, 1, 1278
Result (x y micro-second), 16, 32, 1159
Result (x y micro-second), 7, 13, 1224
Result (x y micro-second), 11, 5, 1220
Result (x y micro-second), 64, 29, 1008
Result (x y micro-second), 1, 11, 2208
Result (x y micro-second), 7, 1, 2042
Result (x y micro-second), 13, 16, 1180
Result (x y micro-second), 29, 64, 1012
Result (x y micro-second), 47, 1, 1199
Result (x y micro-second), 13, 5, 1195
Result (x y micro-second), 29, 29, 1197
Result (x y micro-second), 47, 23, 1018
Result (x y micro-second), 16, 64, 1185
Result (x y micro-second), 29, 47, 1019
Result (x y micro-second), 29, 7, 1148
Result (x y micro-second), 29, 64, 1015
Result (x y micro-second), 64, 47, 1008
Result (x y micro-second), 7, 7, 1265
Result (x y micro-second), 64, 5, 1135
Result (x y micro-second), 32, 47, 1023
Result (x y micro-second), 7, 64, 1259
Result (x y micro-second), 29, 29, 1208
Result (x y micro-second), 7, 11, 1235
Result (x y micro-second), 13, 1, 1592
Result (x y micro-second), 7, 23, 1218
Result (x y micro-second), 64, 47, 1016
Result (x y micro-second), 11, 32, 1208
Result (x y micro-second), 7, 23, 1239
Result (x y micro-second), 16, 47, 1236
Result (x y micro-second), 7, 1, 2046
Result (x y micro-second), 47, 47, 1004
Result (x y micro-second), 64, 47, 1018
Result (x y micro-second), 23, 5, 1157
Result (x y micro-second), 47, 16, 1180
Result (x y micro-second), 11, 23, 1193
Result (x y micro-second), 5, 11, 1314
Result (x y micro-second), 11, 32, 1210
Result (x y micro-second), 32, 23, 1177
Result (x y micro-second), 64, 7, 1140
Result (x y micro-second), 13, 5, 1200
Result (x y micro-second), 32, 13, 1157
Result (x y micro-second), 32, 47, 1018
Result (x y micro-second), 5, 64, 1282
Result (x y micro-second), 11, 29, 1198
Result (x y micro-second), 29, 16, 1169
Result (x y micro-second), 29, 16, 1177
Result (x y micro-second), 7, 13, 1240
Result (x y micro-second), 11, 32, 1298
Result (x y micro-second), 23, 7, 1159
Result (x y micro-second), 1, 47, 2238
Result (x y micro-second), 23, 7, 1153
Result (x y micro-second), 64, 64, 1026
Result (x y micro-second), 32, 32, 1145
Result (x y micro-second), 11, 29, 1192
Result (x y micro-second), 64, 29, 1015
Result (x y micro-second), 23, 16, 1170
Result (x y micro-second), 1, 11, 2214
Result (x y micro-second), 13, 7, 1166
Result (x y micro-second), 5, 16, 1281
Result (x y micro-second), 29, 32, 1198
Result (x y micro-second), 32, 5, 1136
Result (x y micro-second), 7, 64, 1328
Result (x y micro-second), 16, 13, 1146
Result (x y micro-second), 16, 47, 1229
Result (x y micro-second), 13, 23, 1191
Result (x y micro-second), 16, 64, 1191
Result (x y micro-second), 23, 16, 1170
Result (x y micro-second), 29, 5, 1144
Result (x y micro-second), 7, 64, 1252
Result (x y micro-second), 29, 5, 1144
Result (x y micro-second), 29, 7, 1160
Result (x y micro-second), 23, 29, 1167
Result (x y micro-second), 13, 32, 1242
Result (x y micro-second), 29, 16, 1173
Result (x y micro-second), 7, 5, 1357
Result (x y micro-second), 7, 1, 2036
Result (x y micro-second), 1, 7, 2524
Result (x y micro-second), 32, 13, 1144
Result (x y micro-second), 23, 11, 1156
Result (x y micro-second), 7, 32, 1231
Result (x y micro-second), 29, 23, 1188
Result (x y micro-second), 23, 1, 1368
Result (x y micro-second), 1, 7, 2525
Result (x y micro-second), 64, 7, 1149
Result (x y micro-second), 1, 23, 2076
Result (x y micro-second), 5, 16, 1273
Result (x y micro-second), 29, 16, 1175
Result (x y micro-second), 64, 1, 1169
Result (x y micro-second), 11, 29, 1199
Result (x y micro-second), 11, 16, 1198
Result (x y micro-second), 23, 16, 1179
Result (x y micro-second), 11, 16, 1186
Result (x y micro-second), 16, 64, 1185
Result (x y micro-second), 47, 64, 1010
Result (x y micro-second), 7, 47, 1250
Result (x y micro-second), 29, 29, 1198
Result (x y micro-second), 13, 7, 1177
Result (x y micro-second), 16, 13, 1152
Result (x y micro-second), 11, 13, 1195
Result (x y micro-second), 13, 11, 1186
Result (x y micro-second), 47, 16, 1260
Result (x y micro-second), 32, 16, 1144
Result (x y micro-second), 1, 29, 2049
Result (x y micro-second), 11, 5, 1204
Result (x y micro-second), 5, 23, 1266
Result (x y micro-second), 13, 23, 1195
Result (x y micro-second), 47, 32, 1015
Result (x y micro-second), 1, 5, 2867
Result (x y micro-second), 29, 29, 1209
Result (x y micro-second), 1, 29, 2043
Result (x y micro-second), 11, 32, 1217
Result (x y micro-second), 5, 32, 1280
Result (x y micro-second), 32, 23, 1179
Result (x y micro-second), 64, 47, 1014
Result (x y micro-second), 64, 7, 1149
Result (x y micro-second), 5, 32, 1281
Result (x y micro-second), 29, 29, 1201
Result (x y micro-second), 1, 16, 2119
Result (x y micro-second), 7, 11, 1209
Result (x y micro-second), 13, 5, 1196
Result (x y micro-second), 29, 47, 1014
Result (x y micro-second), 16, 11, 1141
Result (x y micro-second), 13, 16, 1176
Result (x y micro-second), 16, 47, 1212
Result (x y micro-second), 64, 16, 1146
Result (x y micro-second), 16, 11, 1186
Result (x y micro-second), 1, 13, 2164
Result (x y micro-second), 47, 29, 1020
Result (x y micro-second), 64, 23, 1019
Result (x y micro-second), 16, 29, 1175
Result (x y micro-second), 32, 16, 1179
Result (x y micro-second), 11, 11, 1190
Result (x y micro-second), 64, 11, 1190
Result (x y micro-second), 23, 5, 1150
Result (x y micro-second), 16, 1, 1472
Result (x y micro-second), 5, 5, 1430
Result (x y micro-second), 47, 23, 1006
Result (x y micro-second), 16, 1, 1481
Result (x y micro-second), 64, 64, 1006
Result (x y micro-second), 47, 47, 1025
Result (x y micro-second), 7, 5, 1351
Result (x y micro-second), 64, 11, 1188
Result (x y micro-second), 16, 23, 1155
Result (x y micro-second), 64, 13, 1168
Result (x y micro-second), 1, 7, 2531
Result (x y micro-second), 47, 32, 997
Result (x y micro-second), 29, 5, 1154
Result (x y micro-second), 47, 29, 1013
Result (x y micro-second), 16, 16, 1150
Result (x y micro-second), 23, 32, 1239
Result (x y micro-second), 11, 29, 1192
Result (x y micro-second), 47, 64, 1006
Result (x y micro-second), 11, 5, 1215
Result (x y micro-second), 64, 7, 1151
Result (x y micro-second), 47, 32, 1006
Result (x y micro-second), 47, 5, 1139
Result (x y micro-second), 47, 29, 1009
Result (x y micro-second), 7, 5, 1357
Result (x y micro-second), 1, 64, 1949
Result (x y micro-second), 11, 1, 1687
Result (x y micro-second), 5, 5, 1418
Result (x y micro-second), 47, 47, 1028
Result (x y micro-second), 11, 16, 1196
Result (x y micro-second), 11, 23, 1196
Result (x y micro-second), 32, 47, 1015
Result (x y micro-second), 11, 1, 1680
Result (x y micro-second), 23, 64, 1006
Result (x y micro-second), 32, 29, 1147
Result (x y micro-second), 5, 29, 1277
Result (x y micro-second), 47, 64, 1078
Result (x y micro-second), 7, 16, 1256
Result (x y micro-second), 47, 47, 1034
Result (x y micro-second), 64, 1, 1174
Result (x y micro-second), 64, 1, 1187
Result (x y micro-second), 64, 7, 1156
Result (x y micro-second), 1, 64, 1946
Result (x y micro-second), 7, 29, 1216
Result (x y micro-second), 32, 16, 1139
Result (x y micro-second), 7, 1, 2061
Result (x y micro-second), 47, 32, 1011
Result (x y micro-second), 29, 64, 1015
Result (x y micro-second), 29, 7, 1155
Result (x y micro-second), 29, 13, 1161
Result (x y micro-second), 47, 32, 1012
Result (x y micro-second), 64, 16, 1164
Result (x y micro-second), 23, 5, 1151
Result (x y micro-second), 47, 7, 1154
Result (x y micro-second), 1, 32, 2055
Result (x y micro-second), 5, 32, 1262
Result (x y micro-second), 32, 1, 1277
Result (x y micro-second), 1, 47, 2239
Result (x y micro-second), 32, 7, 1124
Result (x y micro-second), 16, 16, 1146
Result (x y micro-second), 16, 16, 1157
Result (x y micro-second), 11, 5, 1216
Result (x y micro-second), 11, 1, 1696
Result (x y micro-second), 1, 32, 2036
Result (x y micro-second), 1, 29, 2046
Result (x y micro-second), 5, 64, 1265
Result (x y micro-second), 11, 1, 1686
Result (x y micro-second), 7, 29, 1233
Result (x y micro-second), 1, 1, 7979
Result (x y micro-second), 29, 1, 1307
Result (x y micro-second), 47, 32, 1009
Result (x y micro-second), 32, 13, 1145
Result (x y micro-second), 29, 23, 1160
Result (x y micro-second), 7, 13, 1226
Result (x y micro-second), 23, 23, 1189
Result (x y micro-second), 32, 47, 1017
Result (x y micro-second), 47, 47, 1022
Result (x y micro-second), 64, 64, 1016
Result (x y micro-second), 47, 32, 1011
Result (x y micro-second), 29, 32, 1178
Result (x y micro-second), 11, 47, 1257
Result (x y micro-second), 16, 13, 1149
Result (x y micro-second), 29, 29, 1225
Result (x y micro-second), 47, 29, 1011
Result (x y micro-second), 23, 16, 1168
Result (x y micro-second), 29, 7, 1154
Result (x y micro-second), 11, 11, 1184
Result (x y micro-second), 23, 64, 1013
Result (x y micro-second), 29, 29, 1202
Result (x y micro-second), 11, 5, 1218
Result (x y micro-second), 7, 1, 2141
Result (x y micro-second), 64, 47, 1015
Result (x y micro-second), 64, 32, 1017
Result (x y micro-second), 47, 23, 1016
Result (x y micro-second), 16, 16, 1146
Result (x y micro-second), 11, 23, 1210
Result (x y micro-second), 5, 23, 1273
Result (x y micro-second), 64, 47, 1006
Result (x y micro-second), 5, 32, 1266
Result (x y micro-second), 16, 29, 1167
Result (x y micro-second), 11, 1, 1682
Result (x y micro-second), 47, 23, 1017
Result (x y micro-second), 5, 7, 1432
Result (x y micro-second), 11, 32, 1211
Result (x y micro-second), 47, 23, 1009
Result (x y micro-second), 47, 47, 1015
Result (x y micro-second), 16, 29, 1173
Result (x y micro-second), 32, 13, 1148
Result (x y micro-second), 13, 23, 1186
Result (x y micro-second), 32, 47, 1024
Result (x y micro-second), 1, 64, 1941
Result (x y micro-second), 16, 1, 1485
Result (x y micro-second), 16, 7, 1153
Result (x y micro-second), 47, 23, 1015
Result (x y micro-second), 47, 11, 1173
Result (x y micro-second), 1, 5, 2874
Result (x y micro-second), 5, 29, 1257
Result (x y micro-second), 16, 7, 1153
Result (x y micro-second), 64, 32, 1003
Result (x y micro-second), 47, 32, 1003
Result (x y micro-second), 5, 29, 1270
Result (x y micro-second), 29, 23, 1174
Result (x y micro-second), 5, 13, 1288
Result (x y micro-second), 64, 16, 1157
Result (x y micro-second), 32, 23, 1188
Result (x y micro-second), 13, 23, 1199
Result (x y micro-second), 16, 29, 1176
Result (x y micro-second), 23, 32, 1237
Result (x y micro-second), 29, 13, 1162
Result (x y micro-second), 7, 16, 1222
Result (x y micro-second), 23, 7, 1148
Result (x y micro-second), 13, 29, 1194
Result (x y micro-second), 64, 29, 1012
Result (x y micro-second), 64, 29, 1015
Result (x y micro-second), 7, 23, 1259
Result (x y micro-second), 13, 13, 1182
Result (x y micro-second), 1, 47, 2242
Result (x y micro-second), 64, 7, 1137
Result (x y micro-second), 1, 32, 2026
Result (x y micro-second), 29, 32, 1189
Result (x y micro-second), 11, 47, 1255
Result (x y micro-second), 13, 23, 1191
Result (x y micro-second), 11, 64, 1269
Result (x y micro-second), 11, 1, 1681
Result (x y micro-second), 7, 16, 1220
Result (x y micro-second), 11, 32, 1218
Result (x y micro-second), 23, 32, 1225
Result (x y micro-second), 13, 11, 1180
Result (x y micro-second), 13, 5, 1201
Result (x y micro-second), 64, 16, 1152
Result (x y micro-second), 29, 5, 1149
Result (x y micro-second), 47, 23, 1011
Result (x y micro-second), 1, 32, 2030
Result (x y micro-second), 32, 47, 1006
Result (x y micro-second), 11, 13, 1185
Result (x y micro-second), 29, 13, 1168
Result (x y micro-second), 11, 47, 1252
Result (x y micro-second), 64, 13, 1177
Result (x y micro-second), 23, 5, 1150
Result (x y micro-second), 13, 32, 1244
Result (x y micro-second), 13, 32, 1243
Result (x y micro-second), 16, 64, 1184
Result (x y micro-second), 11, 32, 1212
Result (x y micro-second), 7, 16, 1245
Result (x y micro-second), 29, 5, 1148
Result (x y micro-second), 64, 7, 1149
Result (x y micro-second), 11, 32, 1202
Result (x y micro-second), 32, 5, 1129
Result (x y micro-second), 13, 16, 1177
Result (x y micro-second), 64, 29, 1010
Result (x y micro-second), 29, 13, 1157
Result (x y micro-second), 5, 32, 1267
Result (x y micro-second), 7, 47, 1273
Result (x y micro-second), 7, 47, 1263
Result (x y micro-second), 64, 23, 1011
Result (x y micro-second), 23, 13, 1164
Result (x y micro-second), 5, 64, 1277
Result (x y micro-second), 5, 7, 1437
Result (x y micro-second), 16, 13, 1147
Result (x y micro-second), 32, 5, 1120
Result (x y micro-second), 11, 29, 1206
Result (x y micro-second), 11, 13, 1184
Result (x y micro-second), 11, 47, 1263
Result (x y micro-second), 16, 16, 1151
Result (x y micro-second), 11, 16, 1195
Result (x y micro-second), 5, 47, 1268
Result (x y micro-second), 29, 1, 1300
Result (x y micro-second), 23, 64, 1006
Result (x y micro-second), 64, 23, 1014
Result (x y micro-second), 23, 29, 1167
Result (x y micro-second), 1, 64, 1941
Result (x y micro-second), 1, 5, 2872
Result (x y micro-second), 47, 7, 1157
Result (x y micro-second), 13, 11, 1178
Result (x y micro-second), 13, 64, 1255
Result (x y micro-second), 11, 29, 1191
Result (x y micro-second), 13, 13, 1183
Result (x y micro-second), 5, 29, 1267
Result (x y micro-second), 11, 13, 1188
Result (x y micro-second), 64, 13, 1174
Result (x y micro-second), 29, 5, 1152
Result (x y micro-second), 7, 13, 1228
Result (x y micro-second), 64, 29, 1012
Result (x y micro-second), 11, 29, 1201
Result (x y micro-second), 7, 29, 1240
Result (x y micro-second), 13, 7, 1177
Result (x y micro-second), 23, 7, 1163
Result (x y micro-second), 7, 11, 1246
Result (x y micro-second), 7, 13, 1209
Result (x y micro-second), 13, 23, 1186
Result (x y micro-second), 11, 29, 1186
Result (x y micro-second), 5, 29, 1284
Result (x y micro-second), 64, 1, 1174
Result (x y micro-second), 7, 7, 1271
Result (x y micro-second), 13, 5, 1198
Result (x y micro-second), 13, 64, 1238
Result (x y micro-second), 1, 29, 2039
Result (x y micro-second), 11, 47, 1240
Result (x y micro-second), 5, 13, 1291
Result (x y micro-second), 16, 5, 1156
Result (x y micro-second), 1, 47, 2234
Result (x y micro-second), 13, 13, 1181
Result (x y micro-second), 5, 13, 1283
Result (x y micro-second), 29, 11, 1157
Result (x y micro-second), 32, 5, 1125
Result (x y micro-second), 32, 47, 1006
Result (x y micro-second), 23, 47, 1011
Result (x y micro-second), 11, 16, 1191
Result (x y micro-second), 29, 11, 1148
Result (x y micro-second), 16, 1, 1485
Result (x y micro-second), 11, 64, 1270
Result (x y micro-second), 64, 11, 1194
Result (x y micro-second), 13, 1, 1595
Result (x y micro-second), 64, 16, 1141
Result (x y micro-second), 13, 16, 1182
Result (x y micro-second), 13, 7, 1183
Result (x y micro-second), 5, 32, 1258
Result (x y micro-second), 29, 1, 1301
Result (x y micro-second), 64, 11, 1186
Result (x y micro-second), 13, 29, 1198
Result (x y micro-second), 7, 64, 1250
Result (x y micro-second), 16, 47, 1218
Result (x y micro-second), 23, 29, 1176
Result (x y micro-second), 5, 7, 1425
Result (x y micro-second), 64, 29, 996
Result (x y micro-second), 1, 7, 2543
Result (x y micro-second), 23, 1, 1356
Result (x y micro-second), 13, 32, 1233
Result (x y micro-second), 47, 11, 1178
Result (x y micro-second), 1, 11, 2217
Result (x y micro-second), 32, 13, 1143
Result (x y micro-second), 16, 32, 1162
Result (x y micro-second), 1, 64, 1935
Result (x y micro-second), 32, 64, 1004
Result (x y micro-second), 11, 5, 1221
Result (x y micro-second), 16, 16, 1157
Result (x y micro-second), 47, 32, 1011
Result (x y micro-second), 5, 13, 1281
Result (x y micro-second), 13, 5, 1191
Result (x y micro-second), 23, 13, 1174
Result (x y micro-second), 23, 29, 1174
Result (x y micro-second), 23, 5, 1145
Result (x y micro-second), 16, 32, 1163
Result (x y micro-second), 29, 11, 1155
Result (x y micro-second), 5, 29, 1269
Result (x y micro-second), 13, 29, 1186
Result (x y micro-second), 1, 64, 1939
Result (x y micro-second), 13, 1, 1576
Result (x y micro-second), 47, 7, 1160
Result (x y micro-second), 47, 64, 1012
Result (x y micro-second), 5, 11, 1300
Result (x y micro-second), 11, 1, 1680
Result (x y micro-second), 1, 7, 2520
Result (x y micro-second), 13, 11, 1175
Result (x y micro-second), 11, 47, 1260
Result (x y micro-second), 29, 47, 1012
Result (x y micro-second), 16, 1, 1494
Result (x y micro-second), 32, 64, 1004
Result (x y micro-second), 47, 13, 1158
Result (x y micro-second), 1, 32, 2028
Result (x y micro-second), 47, 16, 1187
Result (x y micro-second), 13, 64, 1241
Result (x y micro-second), 7, 29, 1236
Result (x y micro-second), 32, 47, 1022
Result (x y micro-second), 47, 23, 1016
Result (x y micro-second), 47, 64, 1010
Result (x y micro-second), 29, 64, 1012
Result (x y micro-second), 32, 32, 1150
Result (x y micro-second), 5, 1, 2440
Result (x y micro-second), 47, 11, 1166
Result (x y micro-second), 47, 16, 1193
Result (x y micro-second), 64, 11, 1197
Result (x y micro-second), 11, 32, 1207
Result (x y micro-second), 1, 64, 1934
Result (x y micro-second), 64, 1, 1220
Result (x y micro-second), 16, 29, 1246
Result (x y micro-second), 11, 64, 1323
Result (x y micro-second), 23, 16, 1203
Result (x y micro-second), 13, 5, 1236
Result (x y micro-second), 13, 7, 1204
Result (x y micro-second), 23, 1, 1441
Result (x y micro-second), 64, 7, 1300
Result (x y micro-second), 32, 23, 1396
Result (x y micro-second), 32, 29, 1234
Result (x y micro-second), 23, 23, 1218
Result (x y micro-second), 64, 13, 1209
Result (x y micro-second), 47, 64, 1020
Result (x y micro-second), 16, 1, 1489
Result (x y micro-second), 16, 11, 1164
Result (x y micro-second), 32, 7, 1128
Result (x y micro-second), 5, 11, 1296
Result (x y micro-second), 47, 16, 1213
Result (x y micro-second), 1, 7, 2665
Result (x y micro-second), 32, 13, 1153
Result (x y micro-second), 13, 64, 1252
Result (x y micro-second), 13, 32, 1228
Result (x y micro-second), 64, 5, 1140
Result (x y micro-second), 64, 16, 1149
Result (x y micro-second), 29, 23, 1195
Result (x y micro-second), 7, 7, 1273
Result (x y micro-second), 5, 5, 1469
Result (x y micro-second), 13, 47, 1213
Result (x y micro-second), 47, 29, 1020
Result (x y micro-second), 29, 11, 1157
Result (x y micro-second), 64, 13, 1185
Result (x y micro-second), 13, 5, 1197
Result (x y micro-second), 29, 7, 1153
Result (x y micro-second), 13, 29, 1193
Result (x y micro-second), 11, 5, 1206
Result (x y micro-second), 47, 16, 1180
Result (x y micro-second), 5, 7, 1436
Result (x y micro-second), 7, 47, 1246
Result (x y micro-second), 13, 64, 1235
Result (x y micro-second), 13, 47, 1206
Result (x y micro-second), 16, 23, 1159
Result (x y micro-second), 5, 16, 1279
Result (x y micro-second), 16, 11, 1154
Result (x y micro-second), 11, 13, 1197
Result (x y micro-second), 1, 64, 1957
Result (x y micro-second), 16, 32, 1175
Result (x y micro-second), 5, 29, 1272
Result (x y micro-second), 47, 47, 1018
Result (x y micro-second), 64, 1, 1173
Result (x y micro-second), 11, 7, 1187
Result (x y micro-second), 7, 7, 1284
Result (x y micro-second), 16, 5, 1179
Result (x y micro-second), 13, 29, 1188
Result (x y micro-second), 64, 23, 1017
Result (x y micro-second), 23, 5, 1149
Result (x y micro-second), 16, 5, 1154
Result (x y micro-second), 29, 13, 1158
Result (x y micro-second), 13, 1, 1585
Result (x y micro-second), 16, 29, 1181
Result (x y micro-second), 7, 11, 1229
Result (x y micro-second), 13, 16, 1179
Result (x y micro-second), 5, 16, 1285
Result (x y micro-second), 7, 32, 1231
Result (x y micro-second), 5, 64, 1256
Result (x y micro-second), 47, 16, 1185
Result (x y micro-second), 5, 1, 2444
Result (x y micro-second), 16, 13, 1142
Result (x y micro-second), 5, 47, 1271
Result (x y micro-second), 1, 47, 2232
Result (x y micro-second), 11, 23, 1188
Result (x y micro-second), 1, 23, 2069
Result (x y micro-second), 16, 16, 1127
Result (x y micro-second), 64, 47, 1023
Result (x y micro-second), 11, 13, 1179
Result (x y micro-second), 11, 16, 1194
Result (x y micro-second), 32, 16, 1136
Result (x y micro-second), 1, 29, 2046
Result (x y micro-second), 47, 7, 1161
Result (x y micro-second), 13, 64, 1251
Result (x y micro-second), 5, 7, 1423
Result (x y micro-second), 7, 1, 2045
Result (x y micro-second), 1, 29, 2040
Result (x y micro-second), 13, 64, 1231
Result (x y micro-second), 13, 7, 1182
Result (x y micro-second), 29, 29, 1201
Result (x y micro-second), 32, 29, 1156
Result (x y micro-second), 7, 5, 1345
Result (x y micro-second), 64, 64, 1022
Result (x y micro-second), 32, 11, 1139
Result (x y micro-second), 5, 5, 1426
Result (x y micro-second), 32, 29, 1152
Result (x y micro-second), 23, 23, 1210
Result (x y micro-second), 11, 7, 1199
Result (x y micro-second), 32, 32, 1138
Result (x y micro-second), 7, 29, 1244
Result (x y micro-second), 32, 7, 1125
Result (x y micro-second), 16, 29, 1160
Result (x y micro-second), 64, 47, 1016
Result (x y micro-second), 23, 5, 1144
Result (x y micro-second), 1, 1, 7962
Result (x y micro-second), 32, 29, 1144
Result (x y micro-second), 29, 32, 1201
Result (x y micro-second), 23, 16, 1172
Result (x y micro-second), 16, 11, 1145
Result (x y micro-second), 32, 23, 1179
Result (x y micro-second), 13, 11, 1198
Result (x y micro-second), 11, 47, 1259
Result (x y micro-second), 64, 23, 1010
Result (x y micro-second), 1, 16, 2114
Result (x y micro-second), 5, 1, 2455
Result (x y micro-second), 7, 64, 1261
Result (x y micro-second), 11, 29, 1193
Result (x y micro-second), 23, 1, 1368
Result (x y micro-second), 13, 64, 1248
Result (x y micro-second), 5, 7, 1422
Result (x y micro-second), 47, 29, 1020
Result (x y micro-second), 29, 16, 1171
Result (x y micro-second), 13, 1, 1585
Result (x y micro-second), 32, 47, 1004
Result (x y micro-second), 13, 16, 1175
Result (x y micro-second), 7, 23, 1246
Result (x y micro-second), 47, 16, 1183
Result (x y micro-second), 7, 23, 1245
Result (x y micro-second), 5, 11, 1296
Result (x y micro-second), 1, 1, 7971
Result (x y micro-second), 5, 1, 2425
Result (x y micro-second), 64, 7, 1153
Result (x y micro-second), 32, 11, 1140
Result (x y micro-second), 7, 64, 1266
Result (x y micro-second), 5, 5, 1454
Result (x y micro-second), 64, 64, 1009
Result (x y micro-second), 32, 16, 1133
Result (x y micro-second), 7, 64, 1251
Result (x y micro-second), 16, 1, 1496
Result (x y micro-second), 23, 47, 1004
Result (x y micro-second), 11, 47, 1256
Result (x y micro-second), 11, 64, 1285
Result (x y micro-second), 11, 16, 1186
Result (x y micro-second), 16, 7, 1143
Result (x y micro-second), 23, 23, 1199
Result (x y micro-second), 5, 32, 1264
Result (x y micro-second), 23, 1, 1354
Result (x y micro-second), 64, 5, 1133
Result (x y micro-second), 7, 1, 2041
Result (x y micro-second), 47, 5, 1133
Result (x y micro-second), 5, 29, 1276
Result (x y micro-second), 1, 32, 2027
Result (x y micro-second), 5, 1, 2443
Result (x y micro-second), 29, 13, 1152
Result (x y micro-second), 47, 11, 1186
Result (x y micro-second), 11, 7, 1201
Result (x y micro-second), 64, 13, 1271
Result (x y micro-second), 5, 1, 2443
Result (x y micro-second), 47, 16, 1192
Result (x y micro-second), 5, 16, 1262
Result (x y micro-second), 1, 7, 2520
Result (x y micro-second), 7, 13, 1208
Result (x y micro-second), 1, 64, 1926
Result (x y micro-second), 13, 7, 1177
Result (x y micro-second), 64, 7, 1151
Result (x y micro-second), 5, 64, 1277
Result (x y micro-second), 47, 64, 1023
